Date,Region,Country,Supplier Name,Inventory,Lead Time (days),Transport Status,News Sentiment,Weather Condition,Risk Factor
2025-01-12,North America,China,"Scott, Smith and Schmidt",60250,14,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,Medium
2024-02-07,Oceania,India,Wilson Ltd,96297,5,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,Low
2024-03-27,North America,India,Graves and Sons,84154,24,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2024-07-05,Africa,Australia,Carter-Schultz,37372,19,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,Medium
2024-12-17,North America,India,Harris and Sons,64992,9,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-06-18,Africa,China,Clark and Sons,59317,21,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-01-24,South America,USA,Kelley LLC,80876,5,Delayed,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,High
2024-03-20,Africa,Brazil,Marshall-Moore,77372,7,Awaiting Dispatch,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,Low
2024-07-11,Europe,Germany,Williams-Berry,42900,9,In Transit,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,Low
2025-01-12,Africa,Canada,Reed-Cobb,89692,5,Delayed,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-10-28,Europe,Canada,"Adams, Garcia and Fox",58813,1,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Low
2024-10-24,Africa,USA,"Dean, Evans and Hunt",82823,18,In Transit,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,Medium
2024-07-03,Asia,Canada,Stafford-Ferguson,94863,16,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-04-02,Africa,Canada,Phillips LLC,68659,10,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,Low
2024-01-30,Asia,Australia,Berger Ltd,88308,4,In Transit,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Low
2024-02-10,North America,Germany,"Howard, Hunt and Barker",30971,21,Delayed,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-06-27,Africa,Canada,Walton Inc,74751,23,Delayed,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,High
2024-08-02,South America,Brazil,"Webb, Welch and Craig",41392,15,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,Medium
2024-02-27,North America,China,Bradley-Harrison,10817,9,In Transit,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,Low
2024-06-20,Oceania,South Africa,Bass Group,80026,26,In Transit,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-01-23,North America,Brazil,Valenzuela-Sanders,58431,2,Delayed,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,High
2024-11-07,South America,Australia,"Howell, Snyder and Cook",56114,29,Delayed,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High
2024-02-11,North America,Germany,Hernandez-Cordova,1944,30,In Transit,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-09-07,Asia,USA,Moore PLC,10306,7,In Transit,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,Low
2024-01-24,North America,China,Floyd LLC,49196,27,Delayed,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-03-07,South America,China,Patterson-Cohen,31236,26,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-10-08,Europe,South Africa,Kaiser-Yang,61016,8,In Transit,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,Medium
2024-08-18,South America,Germany,"White, Wright and Hodges",92126,26,Delayed,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High
2024-11-06,Oceania,China,Rivera-Haney,61319,17,In Transit,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-10-18,Africa,China,Allen Group,89118,22,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High
2024-12-09,Europe,South Africa,Gibson-Newton,46880,8,Delayed,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-07-19,Asia,Canada,"Snow, Romero and Mcfarland",84920,10,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-08-25,North America,Canada,Harris PLC,4049,4,Delayed,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High
2024-05-29,Europe,USA,Schwartz-Williams,47725,29,Delayed,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,High
2024-12-30,Asia,Australia,Romero-Smith,32848,16,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-07-04,Asia,Australia,Henry-Hernandez,11383,14,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,Medium
2024-06-18,South America,South Africa,"Smith, Hogan and Kaiser",66868,7,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-03-31,Africa,Germany,"Ferrell, Green and Gomez",96314,17,Delayed,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,High
2024-09-12,South America,USA,Thomas-Smith,46343,1,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,Low
2024-09-12,North America,USA,"Ortiz, Norris and Hansen",14799,22,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-09-28,Oceania,Brazil,"Padilla, Madden and Garner",89878,14,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-06-15,Oceania,Germany,Jones LLC,77466,1,In Transit,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,Low
2024-12-27,Africa,Canada,Gomez and Sons,85142,30,Delayed,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High
2024-08-25,Oceania,Brazil,Perez Ltd,69576,4,In Transit,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Low
2024-03-12,Europe,China,"Murray, Gibson and Jones",75015,21,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,High
2024-04-14,Oceania,Germany,Lee LLC,87228,11,In Transit,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Medium
2024-09-26,Europe,Germany,Hunt LLC,7125,23,Delayed,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High
2024-02-14,South America,USA,"Wilson, Garcia and Luna",45999,7,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-02-09,Oceania,Australia,Perez PLC,70158,13,Delayed,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,High
2024-07-12,Asia,Germany,"Savage, Moreno and Jones",69560,23,In Transit,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,High
2024-02-17,Asia,China,Garcia-Diaz,55065,24,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,High
2024-02-10,Africa,Brazil,Adkins and Sons,78921,5,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-10-06,Oceania,India,Ramos-Porter,46589,30,Delayed,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-12-14,Europe,China,Reed PLC,81447,16,In Transit,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,Medium
2025-01-18,South America,South Africa,Watson-Franklin,30259,4,In Transit,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,Low
2024-03-09,Asia,Canada,Perry LLC,26405,13,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-04-30,South America,Brazil,George Ltd,7538,12,Delayed,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-12-02,Asia,China,"Gillespie, White and Phelps",54491,25,In Transit,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,High
2024-03-01,Oceania,South Africa,Baird Group,73960,4,In Transit,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,Low
2024-04-10,Oceania,Brazil,"Thompson, Bennett and Perez",38920,21,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High
2024-11-22,Asia,Canada,Frazier and Sons,27355,7,Delayed,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,High
2024-06-06,Africa,USA,Martin-Roberts,55183,1,In Transit,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Low
2024-07-15,Europe,South Africa,Greene Ltd,42598,21,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,High
2024-09-12,Oceania,India,Allen Inc,40403,13,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-12-24,Asia,Australia,Jones-Ibarra,35333,18,In Transit,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,Medium
2024-09-22,Africa,Brazil,"Frazier, Wallace and Davis",16858,28,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-02-26,Africa,India,Davenport-Hebert,85246,22,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-08-30,North America,Brazil,Murray-Chaney,31271,14,In Transit,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-02-24,Asia,Brazil,Jacobson and Sons,66090,2,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-09-17,Asia,Brazil,Pittman Inc,53743,16,Delayed,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-06-22,South America,China,Smith Ltd,46088,6,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,Medium
2024-02-19,Africa,Brazil,Curry Ltd,6201,10,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,Low
2024-06-23,South America,Australia,Reyes-Wagner,65375,16,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-03-16,Africa,Germany,"Stokes, Sims and Baker",89351,27,Delayed,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-09-05,Asia,India,Howard-Foley,29950,25,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-09-13,Europe,South Africa,Obrien-Chambers,18030,3,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,Medium
2024-05-22,North America,China,Perez Group,55242,1,Delayed,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,High
2024-10-04,Europe,South Africa,"Parker, York and Galvan",15079,13,In Transit,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-10-10,Africa,Canada,York-Ramsey,62904,2,Delayed,Pest infestation reduces tomato output in key regions.,Drought leading to crop failure,High
2024-04-04,Europe,China,Allen-White,73039,20,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-10-10,Asia,Australia,Smith-Thomas,25637,4,In Transit,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,Low
2024-11-13,Africa,Australia,Schneider LLC,34234,24,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-02-25,North America,India,"Rodriguez, Miller and Boyd",68864,10,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-12-23,Europe,India,Garcia-Taylor,86856,28,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2024-08-30,South America,Canada,Russell-Perry,25622,19,Delayed,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,High
2024-11-12,Asia,USA,Cole-Stanley,71163,15,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,Medium
2024-03-19,Africa,Australia,"Robbins, Thomas and Hines",68666,24,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2025-01-08,Europe,Germany,"Jones, Sanders and Miller",48506,16,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,Medium
2024-08-28,Oceania,Australia,Richardson-Ochoa,8069,12,Delayed,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-12-18,South America,Canada,Glover-George,91682,15,Delayed,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-10-18,Africa,Brazil,Pope-Hill,67567,27,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-05-19,Oceania,Germany,Ellis LLC,1335,3,Delayed,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-12-31,South America,India,Phillips LLC,64269,13,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-04-07,Europe,Brazil,Wright LLC,68786,14,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,Medium
2024-07-04,Oceania,Australia,Maldonado LLC,96324,13,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
2024-10-07,South America,USA,Newton-Wright,33873,16,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,Medium
2024-08-24,Oceania,USA,Alvarez-Higgins,47175,28,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-04-04,Africa,India,"Gutierrez, Garcia and Shea",78994,24,In Transit,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,High
2024-02-08,South America,Canada,"Perez, Brown and Sanchez",98963,8,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,Medium
2025-01-02,Europe,Brazil,Wilson-Moody,38146,9,Delayed,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-07-09,Europe,USA,Shepard-Mendez,31784,7,Delayed,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,High
2024-12-01,Asia,Australia,Weber-Morgan,36582,27,In Transit,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,High
2025-01-03,Oceania,South Africa,Andrews and Sons,23369,20,Delayed,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-07-17,South America,India,"Peterson, Cummings and King",34705,21,In Transit,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-06-30,Africa,China,Huffman-Sullivan,77225,3,In Transit,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,Low
2024-08-16,North America,Australia,Hobbs PLC,1070,17,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-08-20,North America,China,"Johnson, Sullivan and Estrada",66502,27,Delayed,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-02-08,Africa,India,Olson Ltd,51020,12,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-05-16,South America,Canada,"Poole, Parker and Davis",6712,16,In Transit,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-05-12,Oceania,Australia,Sherman-Clark,54352,25,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,High
2024-04-09,Africa,South Africa,Barber-Mitchell,15906,28,Delayed,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,High
2024-08-03,Oceania,Brazil,Rodriguez-Powell,90618,22,In Transit,Pest infestation reduces tomato output in key regions.,Drought leading to crop failure,High
2024-05-08,South America,USA,Griffin LLC,13767,20,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,Medium
2025-01-13,Asia,Canada,Williams Inc,49622,15,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-03-29,North America,India,"Reed, Yoder and Houston",9892,3,In Transit,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,Medium
2024-04-24,South America,Brazil,Rodriguez Ltd,20825,26,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-04-13,Europe,South Africa,"Anderson, Hall and Mcdonald",84246,24,In Transit,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,High
2024-08-11,South America,Canada,Thomas Ltd,64481,6,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Low
2024-09-24,Oceania,China,"Carr, Ray and Simon",66223,22,Delayed,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-03-24,North America,China,"Acosta, Williams and Best",42875,9,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low
2024-11-15,Asia,China,"Cruz, Harrington and Velazquez",25668,16,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-02-11,South America,Brazil,Brown Inc,51003,18,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High
2025-01-01,Oceania,India,Ross-Banks,84219,9,In Transit,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-11-02,Oceania,South Africa,"Walsh, Richards and Santana",49215,18,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,Medium
2024-03-13,Africa,Australia,"Terry, Olson and Phillips",11548,19,In Transit,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,Medium
2024-05-17,Europe,Germany,Johnson-Coffey,90537,5,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-11-20,Oceania,India,"Mclean, Silva and Davidson",10996,29,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,High
2024-02-05,Oceania,Australia,"Young, Wright and Blackwell",9740,21,In Transit,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,High
2024-05-19,South America,India,"Gregory, Garza and Hubbard",34708,15,Delayed,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-06-12,Oceania,India,Young and Sons,31518,23,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,High
2024-11-24,Asia,South Africa,Lam-Stone,13800,26,Delayed,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High
2024-03-02,Africa,USA,Howard-Preston,61891,14,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Medium
2024-01-27,North America,China,Hughes Ltd,23206,11,Delayed,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,High
2024-05-29,North America,South Africa,Smith and Sons,90561,4,In Transit,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,Low
2024-12-20,Europe,India,Alexander LLC,37205,7,In Transit,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,Low
2024-06-23,Oceania,South Africa,Henry Inc,81804,18,In Transit,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,Medium
2024-03-20,Oceania,Canada,"Anderson, Evans and Mack",80733,5,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-02-27,Europe,China,Morris-Edwards,66053,19,Delayed,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-11-25,North America,Australia,"Barnett, Gould and Jones",93395,27,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-02-05,Europe,India,Johnson-Gordon,70997,13,Delayed,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,High
2024-10-30,South America,Brazil,"Glover, Lee and Miller",14790,20,Delayed,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-07-17,Oceania,Germany,"Lewis, Soto and Shaw",74297,9,In Transit,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,Medium
2024-04-29,North America,China,"Thomas, Richardson and Smith",11935,6,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,Low
2025-01-19,Africa,India,Hernandez and Sons,76961,13,Delayed,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High
2024-03-19,South America,Canada,Morris PLC,82209,20,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-05-24,Africa,Canada,Bryan-Lewis,8158,28,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-09-20,Africa,South Africa,Taylor-Moody,45718,1,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
2024-10-22,Asia,China,Wilcox Group,83508,18,In Transit,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,Medium
2024-12-08,Africa,USA,Rios-Diaz,25496,11,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,Medium
2024-08-11,Asia,Germany,"Andrews, Brown and Bowers",22139,25,In Transit,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-06-23,North America,Canada,White Ltd,75550,16,In Transit,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,Medium
2024-06-04,Africa,Brazil,"Holmes, Ferguson and Mitchell",94195,21,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,High
2024-12-01,North America,China,"Castaneda, Smith and Becker",83430,15,Delayed,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-05-01,South America,South Africa,Mays and Sons,5732,17,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2025-01-12,North America,Canada,"Peters, Hernandez and Holmes",83514,19,Delayed,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,High
2024-12-11,Asia,USA,"Moreno, Barnes and Clark",26873,23,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-02-09,South America,Germany,"Chapman, Hernandez and King",37551,18,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-11-13,North America,USA,"Guzman, Armstrong and Mitchell",5359,1,In Transit,Pest infestation reduces tomato output in key regions.,Drought leading to crop failure,Medium
2024-04-30,Oceania,India,Casey PLC,55422,12,Delayed,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-04-12,Africa,Germany,Rogers LLC,88676,19,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,Medium
2024-06-15,Europe,China,Henson Group,42123,3,In Transit,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,Low
2024-07-03,Asia,India,Benson LLC,27663,28,In Transit,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-08-03,North America,Germany,Jones-Doyle,13191,27,In Transit,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-04-13,Europe,India,"Peterson, Campbell and Garcia",86805,17,Delayed,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,High
2024-05-28,Africa,Brazil,Smith-Martin,36868,9,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-10-11,North America,USA,Blake Inc,70089,20,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,Medium
2024-07-12,South America,USA,Baker-Mueller,15461,19,In Transit,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-12-12,Europe,USA,Foster-Gomez,93372,19,Delayed,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-02-21,North America,Australia,Watson Group,91882,22,In Transit,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-02-26,Asia,Brazil,Booth Group,16230,2,In Transit,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-02-27,South America,USA,"Stewart, Fernandez and Young",81216,23,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-11-12,North America,South Africa,Allen Ltd,91990,1,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-01-21,Asia,South Africa,Roberts-Dudley,79418,5,In Transit,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,Low
2024-07-13,Asia,Canada,"Bell, Nelson and Taylor",71863,22,Delayed,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High
2024-10-18,Asia,Germany,Day-James,42609,26,In Transit,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-06-10,South America,Australia,Lambert and Sons,16692,16,In Transit,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,Medium
2024-05-08,Europe,Germany,Higgins-Wright,95553,18,Delayed,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-09-01,Asia,South Africa,"Brown, Winters and Tate",92839,21,In Transit,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,High
2024-10-19,Europe,Australia,Mendoza PLC,68028,17,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,Medium
2024-04-16,South America,Canada,"Grant, Gardner and Bennett",14332,29,In Transit,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-12-22,Asia,South Africa,Robertson PLC,87989,2,Delayed,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-05-24,North America,China,"Villarreal, Parks and Lopez",17843,26,Delayed,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,High
2024-03-11,South America,South Africa,Thomas-Cook,73465,16,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-02-06,Asia,China,Cooley LLC,53436,17,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2025-01-11,Africa,Brazil,"Lucas, Khan and Brown",46731,2,Delayed,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,High
2024-01-28,Asia,USA,Perez-Brown,1982,23,In Transit,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-04-07,North America,China,"Martin, Bowen and Copeland",13732,4,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-02-12,Oceania,India,Smith-Esparza,49622,17,In Transit,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-09-16,Oceania,China,"Stewart, Brown and Simmons",87182,23,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High
2024-12-30,Oceania,South Africa,"Cruz, Jones and Snow",46602,24,In Transit,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High
2024-02-28,North America,USA,"Weber, Williams and Rogers",28770,11,Delayed,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,High
2024-10-12,South America,Australia,"Solis, Smith and Palmer",81168,24,In Transit,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High
2024-02-07,Asia,Canada,"Boyer, Murphy and Owens",4534,20,In Transit,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Medium
2024-09-20,North America,China,Martin LLC,65863,2,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-11-30,Asia,China,Jimenez Group,28742,16,Delayed,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
